sentence,sentiment
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਨੈਤਿਕ', 'ਮੁੱਲ', 'ਸਿਖਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੇ', 'ਅਚਰਨ', 'ਨਾਲ', 'ਦੂਜਿਆਂ', 'ਲਈ', 'ਮਿਸਾਲ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਵਿਚ', 'ਆਤਮ-ਵਿਸਵਾਸ', 'ਪੈਦਾ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਦੀਆਂ', 'ਸਮੱਸਿਆਵਾਂ', 'ਧੀਰਜ', 'ਨਾਲ', 'ਸੁਣਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੇ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਦੀ', 'ਮੈਦਾਨੀ', 'ਅਤੇ', 'ਅਕਾਦਮਿਕ', 'ਦੋਹਾਂ', 'ਤਰਹਾਂ', 'ਮਦਦ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਸਕੂਲ', 'ਵਿਚ', 'ਹਰ', 'ਸਮਾਰੋਹ', 'ਵਿਚ', 'ਭਾਗ', 'ਲੈਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਚੁਸਤ', 'ਤੇ', 'ਤੰਦਰੁਸਤ', 'ਬਣਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਖੇਡਾਂ', 'ਰਾਹੀਂ', 'ਦਿਮਾਗੀ', 'ਤੇ', 'ਸਰੀਰਕ', 'ਵਿਕਾਸ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਮਾਣ', 'ਅਤੇ', 'ਸਤਿਕਾਰ', 'ਦੇ', 'ਪਾਤਰ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਵਿਚ', 'ਸਮਾਜਿਕ', 'ਜਿੰਮੇਵਾਰੀ', 'ਦਾ', 'ਭਾਵ', 'ਪੈਦਾ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਅਨੁਸਾਸਨ', 'ਤੇ', 'ਮਿਹਨਤ', 'ਦੇ', 'ਪਰਤੀਕ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਰ', 'ਵਿਦਿਆਰਥੀ', 'ਵਿਚ', 'ਛੁਪੀ', 'ਹੋਈ', 'ਪਰਤਿਭਾ', 'ਨੂੰ', 'ਉਭਾਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਕਦੇ', 'ਵੀ', 'ਵਿਦਿਆਰਥੀ', 'ਦੀ', 'ਉਪੇਖਾ', 'ਨਹੀਂ', 'ਕਰਦੇ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਵਿਚ', 'ਸਵਾਲ', 'ਪੁੱਛਣ', 'ਦੀ', 'ਆਦਤ', 'ਪੈਦਾ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਮੇਸਾ', 'ਨਵੀਆਂ', 'ਤਕਨੀਕਾਂ', 'ਨਾਲ', 'ਪੜਹਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੀ', 'ਪਾਠ', 'ਪੜਹਾਉਣ', 'ਦੀ', 'ਯੋਜਨਾ', 'ਬਹੁਤ', 'ਸੋਚ-ਸਮਝ', 'ਕੇ', 'ਬਣਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਮੇਸਾ', 'ਸਕੂਲ', 'ਦੀ', 'ਸਾਨ', 'ਵਧਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਆਤਮ-ਨਿਰਭਰ', 'ਬਣਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਦੀਆਂ', 'ਸਹੀ', 'ਦਿਸਾ', 'ਵਿਚ', 'ਰਹਿਨੁਮਾਈ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਚੰਗੀ', 'ਲੀਡਰਸਿਪ', 'ਗੁਣ', 'ਪੈਦਾ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਸਮਾਜਿਕ', 'ਸੇਵਾ', 'ਵਲ', 'ਪਰੇਰਿਤ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਵਿਚ', 'ਸਹਿਯੋਗ', 'ਅਤੇ', 'ਭਾਈਚਾਰੇ', 'ਦੀ', 'ਭਾਵਨਾ', 'ਪੈਦਾ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਹਮੇਸਾ', 'ਮੋਟਿਵੇਟ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੀ', 'ਜਿੰਦਗੀ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਦੀ', 'ਭਲਾਈ', 'ਲਈ', 'ਸਮਰਪਿਤ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਦੀਆਂ', 'ਖਾਮੀਆਂ', 'ਨਰਮ', 'ਦਿਲੀ', 'ਨਾਲ', 'ਠੀਕ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਪਿਆਰ', 'ਭਰੇ', 'ਅੰਦਾਜ', 'ਵਿਚ', 'ਪੜਹਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਵਿਚ', 'ਸਵੈ-ਅਨੁਸਾਸਨ', 'ਪੈਦਾ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਸਿੱਧਾ', 'ਤੇ', 'ਸਾਫ', 'ਰਸਤਾ', 'ਚੁਣਨ', 'ਦੀ', 'ਸਿਖਲਾਈ', 'ਦਿੰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਲਈ', 'ਮੰਜਿਲ', 'ਤੱਕ', 'ਪਹੁੰਚਣ', 'ਦੀ', 'ਪਰੇਰਣਾ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਬੱਚਿਆਂ', 'ਵਿਚ', 'ਸਹਿਣਸੀਲਤਾ', 'ਅਤੇ', 'ਧੀਰਜ', 'ਪੈਦਾ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੇ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਹਰ', 'ਸਮੇਂ', 'ਅੱਗੇ', 'ਵਧਣ', 'ਲਈ', 'ਉਤਸਾਹਿਤ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਅਨੁਭਵੀ', 'ਅਤੇ', 'ਸਮਝਦਾਰ', 'ਅਧਿਆਪਕ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੀ', 'ਸਾਨਦਾਰ', 'ਸਖਸੀਅਤ', 'ਨਾਲ', 'ਦੂਜਿਆਂ', 'ਨੂੰ', 'ਪਰਭਾਵਿਤ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੀ', 'ਗੱਲ', 'ਬੜੀ', 'ਆਸਾਨੀ', 'ਨਾਲ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਤੱਕ', 'ਪਹੁੰਚਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਮੇਸਾ', 'ਨਵੀਨਤਾ', 'ਲਈ', 'ਤਿਆਰ', 'ਰਹਿੰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੀ', 'ਗੱਲ', 'ਮਨਾਉਣ', 'ਦੀ', 'ਕਲਾ', ""'"", 'ਚ', 'ਨਿਪੁੰਨ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਲਈ', 'ਮਾਰਗਦਰਸਨ', 'ਦਾ', 'ਸਰੋਤ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਵਿਚ', 'ਪਰਤਿਸਪਰਧਾ', 'ਦੀ', 'ਭਾਵਨਾ', 'ਪੈਦਾ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਸਤਤ', 'ਸਿੱਖਣ', 'ਦੇ', 'ਭਾਵ', 'ਨੂੰ', 'ਉਤਸਾਹਤ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਸਮੇਂ', 'ਦੀ', 'ਕੀਮਤ', 'ਬਤਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਚੰਗੀ', 'ਸਿਹਤ', 'ਲਈ', 'ਪੋਸਣ-ਭਰਪੂਰ', 'ਖੁਰਾਕ', 'ਲਾਜਮੀ', 'ਹੈ']",positive
"['ਤਾਜਾ', 'ਫਲ', 'ਅਤੇ', 'ਹਰੀਆਂ', 'ਸਬਜੀਆਂ', 'ਖਾਣੀ', 'ਚਾਹੀਦੀ', 'ਹੈ']",positive
"['ਨੀਂਦ', 'ਦੀ', 'ਕਮੀ', 'ਸਰੀਰ', 'ਅਤੇ', 'ਮਨ', 'ਨੂੰ', 'ਨਿਕਾਸ', 'ਕਰ', 'ਦਿੰਦੀ', 'ਹੈ']",negative
"['ਰੋਜਾਨਾ', 'ਅੱਧਾ', 'ਘੰਟਾ', 'ਕਸਰਤ', 'ਕਰਨਾ', 'ਸਿਹਤ', 'ਲਈ', 'ਫਾਇਦੇਮੰਦ', 'ਹੈ']",positive
"['ਮੈਡੀਟੇਸਨ', 'ਮਨ', 'ਨੂੰ', 'ਸਾਂਤ', 'ਕਰਨ', 'ਵਿੱਚ', 'ਮਦਦ', 'ਕਰਦਾ', 'ਹੈ']",positive
"['ਸਕਾਰਾਤਮਕ', 'ਲੋਕਾਂ', 'ਦੀ', 'ਸੰਗਤ', 'ਜੀਵਨ', 'ਨੂੰ', 'ਸੁਧਾਰਦੀ', 'ਹੈ']",positive
"['ਨਿਯਮਤ', 'ਸਿਹਤ', 'ਜਾਂਚ', 'ਨਾਲ', 'ਬੀਮਾਰੀ', 'ਤੋਂ', 'ਬਚਾਵ', 'ਹੋ', 'ਸਕਦਾ', 'ਹੈ']",positive
"['ਚੂਹਿਆਂ', 'ਦੀ', 'ਦੌੜ', 'ਵਿੱਚ', 'ਸਿਹਤ', 'ਨੂੰ', 'ਨਜਰਅੰਦਾਜ', 'ਕਰਨਾ', 'ਖਤਰਨਾਕ', 'ਹੈ']",negative
"['ਸਿਹਤ', 'ਸੰਭਾਲਣ', 'ਨਾਲ', 'ਜੀਵਨ', 'ਖੁਸਹਾਲ', 'ਬਣਦਾ', 'ਹੈ']",positive
"['ਨੀਂਦ', 'ਨਾਲ', 'ਸਮਝੌਤਾ', 'ਕਰਨਾ', 'ਸਰੀਰ', 'ਅਤੇ', 'ਮਨ', 'ਲਈ', 'ਨੁਕਸਾਨਦਾਇਕ', 'ਹੈ']",negative
"['ਮੈਨੂੰ', 'ਇਹ', 'ਫਿਲਮ', 'ਬਹੁਤ', 'ਪਸੰਦ', 'ਆਈ']",positive
"['ਅੱਜ', 'ਦਾ', 'ਦਿਨ', 'ਬਹੁਤ', 'ਮਾੜਾ', 'ਸੀ']",negative
"['ਮੈਂ', 'ਬੱਸ', 'ਵਿੱਚ', 'ਸਫਰ', 'ਕੀਤਾ']",neutral
"['ਇਹ', 'ਖਾਣਾ', 'ਸੁਆਦ', 'ਹੈ']",positive
"['ਮੇਰਾ', 'ਸਿਰ', 'ਬਹੁਤ', 'ਦੁਖਦਾ', 'ਹੈ']",negative
"['ਉਹ', 'ਕੱਲਹ', 'ਸਹਿਰ', 'ਜਾਵੇਗਾ']",neutral
"['ਮੈਂ', 'ਆਪਣੇ', 'ਨਵੇਂ', 'ਘਰ', 'ਤੋਂ', 'ਬਹੁਤ', 'ਖੁਸ', 'ਹਾਂ']",positive
"['ਟਰੈਫਿਕ', 'ਜਾਮ', 'ਕਾਰਨ', 'ਮੈਂ', 'ਲੇਟ', 'ਹੋ', 'ਗਿਆ']",negative
"['ਅੱਜ', 'ਬਾਜਾਰ', 'ਵਿੱਚ', 'ਬਹੁਤ', 'ਭੀੜ', 'ਸੀ']",neutral
"['ਮੈਨੂੰ', 'ਨੌਕਰੀ', 'ਮਿਲ', 'ਗਈ', 'ਹੈ']",positive
"['ਮੇਰਾ', 'ਮੋਬਾਈਲ', 'ਟੁੱਟ', 'ਗਿਆ']",negative
"['ਬੱਸ', 'ਹਰ', 'ਰੋਜ', 'ਸਮੇਂ', ""'"", 'ਤੇ', 'ਆਉਂਦੀ', 'ਹੈ']",neutral
"['ਉਸਦੀ', 'ਸਹਾਇਤਾ', 'ਲਈ', 'ਮੈਂ', 'ਬਹੁਤ', 'ਧੰਨਵਾਦੀ', 'ਹਾਂ']",positive
"['ਮੇਰਾ', 'ਪਰਸ', 'ਗੁੰਮ', 'ਹੋ', 'ਗਿਆ', 'ਹੈ']",negative
"['ਉਹ', 'ਪੰਜ', 'ਵਜੇ', 'ਘਰ', 'ਪਹੁੰਚਿਆ']",neutral
"['ਇਹ', 'ਗੀਤ', 'ਮੈਨੂੰ', 'ਬਹੁਤ', 'ਚੰਗਾ', 'ਲੱਗਦਾ', 'ਹੈ']",positive
"['ਮੇਰੀ', 'ਕਾਰ', 'ਦਾ', 'ਟਾਇਰ', 'ਪੰਚਰ', 'ਹੋ', 'ਗਿਆ']",negative
"['ਉਸ', 'ਕੋਲ', 'ਇੱਕ', 'ਨੀਲਾ', 'ਬੈਗ', 'ਹੈ']",neutral
"['ਸਾਡੀ', 'ਟੀਮ', 'ਜਿੱਤ', 'ਗਈ', 'ਹੈ']",positive
"['ਉਸਨੇ', 'ਪਰੀਖਿਆ', 'ਫੇਲ', 'ਕਰ', 'ਦਿੱਤੀ', 'ਹੈ']",negative
"['ਅੱਜ', 'ਮੌਸਮ', 'ਸੁਹਾਵਣਾ', 'ਹੈ']",positive
"['ਮੈਂ', 'ਆਪਣੀ', 'ਚਾਬੀ', 'ਗੁਆ', 'ਦਿੱਤੀ', 'ਹੈ']",negative
"['ਸੜਕ', ""'"", 'ਤੇ', 'ਬਹੁਤ', 'ਟਰੈਫਿਕ', 'ਹੈ']",neutral
"['ਉਸਦਾ', 'ਘਰ', 'ਬਹੁਤ', 'ਸੁੰਦਰ', 'ਹੈ']",positive
"['ਮੇਰੀ', 'ਤਬੀਅਤ', 'ਖਰਾਬ', 'ਹੈ']",negative
"['ਬੱਸ', 'ਪੰਜ', 'ਮਿੰਟ', 'ਵਿੱਚ', 'ਪਹੁੰਚੇਗੀ']",neutral
"['ਇਹ', 'ਕਿਤਾਬ', 'ਬਹੁਤ', 'ਦਿਲਚਸਪ', 'ਹੈ']",positive
"['ਮੈਨੂੰ', 'ਇਹ', 'ਪਰੋਸਿਆ', 'ਹੋਇਆ', 'ਖਾਣਾ', 'ਪਸੰਦ', 'ਨਹੀਂ', 'ਹੈ']",negative
"['ਦੁਕਾਨ', 'ਸਾਮ', 'ਪੰਜ', 'ਵਜੇ', 'ਬੰਦ', 'ਹੁੰਦੀ', 'ਹੈ']",neutral
"['ਮੈਨੂੰ', 'ਪਰਮੋਸਨ', 'ਮਿਲੀ', 'ਹੈ']",positive
"['ਉਸਨੇ', 'ਮੇਰੀ', 'ਮਦਦ', 'ਨਹੀਂ', 'ਕੀਤੀ']",negative
"['ਉਹ', 'ਰੋਜ', 'ਸਵੇਰੇ', 'ਜੌਗਿੰਗ', 'ਕਰਦਾ', 'ਹੈ']",neutral
"['ਮੇਰੇ', 'ਬੱਚੇ', 'ਨੇ', 'ਸਕੂਲ', 'ਵਿੱਚ', 'ਪਹਿਲਾ', 'ਸਥਾਨ', 'ਪਰਾਪਤ', 'ਕੀਤਾ']",positive
"['ਇਹ', 'ਦਰਦ', 'ਬਰਦਾਸਤ', 'ਨਹੀਂ', 'ਹੋ', 'ਰਿਹਾ']",negative
"['ਉਹ', 'ਅੱਜ', 'ਦਫਤਰ', 'ਨਹੀਂ', 'ਆਇਆ']",neutral
"['ਇਹ', 'ਤੋਹਫਾ', 'ਬਹੁਤ', 'ਸੁੰਦਰ', 'ਹੈ']",positive
"['ਮੈਂ', 'ਇਸ', 'ਕੰਮ', 'ਤੋਂ', 'ਨਿਰਾਸ', 'ਹਾਂ']",negative
"['ਸੂਰਜ', 'ਪੂਰਬ', 'ਤੋਂ', 'ਉਗਦਾ', 'ਹੈ']",neutral
"['ਮੇਰੀ', 'ਫੈਮਿਲੀ', 'ਨਾਲ', 'ਛੁੱਟੀਆਂ', 'ਬਹੁਤ', 'ਵਧੀਆ', 'ਰਹੀਆਂ']",positive
"['ਮੇਰਾ', 'ਫੋਨ', 'ਚੋਰੀ', 'ਹੋ', 'ਗਿਆ', 'ਹੈ']",negative
"['ਦੁਕਾਨ', 'ਸੋਮਵਾਰ', 'ਨੂੰ', 'ਬੰਦ', 'ਰਹਿੰਦੀ', 'ਹੈ']",neutral
"['ਉਸਨੇ', 'ਮੇਰੀ', 'ਬਹੁਤ', 'ਮਦਦ', 'ਕੀਤੀ']",positive
